"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Rietveld CA",GCST002045,2013-05-30,Science,"GWAS of 126,559 individuals identifies genetic variants associated with educational attainment.","Educational attainment","self reported educational attainment",'-,"101069 European","25490 European",9,NA
"Rietveld CA",GCST002047,2013-05-30,Science,"GWAS of 126,559 individuals identifies genetic variants associated with educational attainment.","Educational attainment (college completion)","self reported educational attainment",'-,"126559 European",'-,1,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Rietveld CA",GCST008396,2013-05-30,Science,"GWAS of 126,559 individuals identifies genetic variants associated with educational attainment.","Educational attainment (years of education)","self reported educational attainment",'-,"126559 European",'-,3,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Davies G",GCST003496,2016-04-05,"Mol Psychiatry","Genome-wide association study of cognitive functions and educational attainment in UK Biobank (N=112 151).","Educational attainment","self reported educational attainment",'-,"111114 European",'-,15,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Okbay A",GCST003676,2016-05-26,Nature,"Genome-wide association study identifies 74 loci associated with educational attainment.","Educational attainment (years of education)","self reported educational attainment",'-,"405072 European",'-,162,"FTP Download"
"Okbay A",GCST003677,2016-05-26,Nature,"Genome-wide association study identifies 74 loci associated with educational attainment.","Educational attainment (college completion)","self reported educational attainment",'-,"280007 European",'-,34,"API access"
"Lee JJ",GCST006442,2018-07-23,"Nat Genet","Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.","Educational attainment (years of education)","self reported educational attainment",'-,"1131881 European",'-,1640,NA
"Lee JJ",GCST006571,2018-07-23,"Nat Genet","Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.","Educational attainment (MTAG)","self reported educational attainment",'-,"1131438 European",'-,1343,NA
"Demange PA",GCST90011874,2021-01-07,"Nat Genet","Investigating the genetic architecture of noncognitive skills using GWAS-by-subtraction.","Noncognitive aspects of educational attainment","self reported educational attainment",'-,"510795 European",'-,151,"FTP Download"
"Rietveld CA",GCST002598,2014-09-08,"Proc Natl Acad Sci U S A","Common genetic variants associated with cognitive performance identified using the proxy-phenotype method.","Educational attainment","self reported educational attainment",'-,"106736 European",'-,68,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
